query,expected_answer
Give me a summary of The Untouchables.,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
What is The Untouchables about?,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
Give me a summary of Children of Men.,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Tell me the storyline of Ondskan.,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
Give me a summary of Little Miss Sunshine.,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Give me a summary of 21 Grams.,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
What is Trois couleurs: Bleu about?,A woman struggles to find a way to live her life after the death of her husband and child.
Give me a summary of Evil Dead II.,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Explain the story behind Drishyam.,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Summarize the plot of Children of Men for me.,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
What happens in Drishyam?,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
What is Ondskan about?,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
Tell me the storyline of Evil Dead II.,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Explain the story behind Wreck-It Ralph.,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Explain the story behind Gifted.,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
What is the plot of Trois couleurs: Bleu?,A woman struggles to find a way to live her life after the death of her husband and child.
Tell me the storyline of Home Alone.,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
What is the plot of Gone Girl?,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
What happens in Spartacus?,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
What is The Sandlot about?,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
What is Network about?,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
What is Captain America: The Winter Soldier about?,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Tell me the storyline of Bom Yeoareum Gaeul Gyeoul Geurigo Bom.,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
Summarize the plot of Gone Girl for me.,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Summarize the plot of Sunrise: A Song of Two Humans for me.,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
Explain the story behind The Untouchables.,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
Give me a summary of Gone Girl.,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Can you tell me the story of Repulsion?,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
What is the plot of Bom Yeoareum Gaeul Gyeoul Geurigo Bom?,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
What happens in Toki o kakeru shôjo?,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Explain the story behind Evil Dead II.,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Can you tell me the story of Stalker?,A guide leads two men through an area known as the Zone to find a room that grants wishes.
What happens in Little Miss Sunshine?,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Give me a summary of Drishyam.,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
What is the plot of Gandhi?,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Give me a summary of Spartacus.,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
Can you tell me the story of 21 Grams?,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Summarize the plot of Network for me.,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
What happens in Gandhi?,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
What is the plot of The Untouchables?,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
What happens in Ondskan?,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
What is the plot of El cuerpo?,A detective searches for the body of a femme fatale which has gone missing from a morgue.
Tell me the storyline of Sunrise: A Song of Two Humans.,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
Tell me the storyline of Drishyam.,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Summarize the plot of 21 Grams for me.,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
What is the plot of Sunrise: A Song of Two Humans?,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
What happens in Trois couleurs: Bleu?,A woman struggles to find a way to live her life after the death of her husband and child.
Can you tell me the story of El cuerpo?,A detective searches for the body of a femme fatale which has gone missing from a morgue.
Summarize the plot of Gandhi for me.,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Tell me the storyline of Stalker.,A guide leads two men through an area known as the Zone to find a room that grants wishes.
What is Toki o kakeru shôjo about?,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Can you tell me the story of The Sandlot?,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Tell me the storyline of Primal Fear.,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
What is the plot of Wreck-It Ralph?,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Summarize the plot of Little Miss Sunshine for me.,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
What is the plot of Ondskan?,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
What happens in Evil Dead II?,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Explain the story behind Sunrise: A Song of Two Humans.,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
What is Wreck-It Ralph about?,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Tell me the storyline of Anand.,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Give me a summary of Captain America: The Winter Soldier.,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Give me a summary of Network.,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
Explain the story behind Spartacus.,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
Tell me the storyline of Gifted.,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
Explain the story behind Bom Yeoareum Gaeul Gyeoul Geurigo Bom.,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
